"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1438","@ui @basket @regression @positive should add and remove product to basket and see it empty","chromium","2026-03-30","passed","2026-03-30","@ui @basket @regression Basket UI","ui/basket.spec.ts","",""
"","1376","@ui @search @smoke @positive should search for a product","chromium","2026-03-30","passed","2026-03-30","@ui @search @regression Search UI","ui/search.spec.ts","",""
"","20","@negative should not login with invalid password","chromium","2026-03-30","passed","2026-03-30","@api @auth Auth API","api/auth.api.spec.ts","",""
"","9548","@ui @basket @smoke @positive should add product to basket and see it there","chromium","2026-03-30","failed","2026-03-30","@ui @basket @regression Basket UI","ui/basket.spec.ts","",""
"","44","@positive should find apple product in search","chromium","2026-03-30","passed","2026-03-30","@api @products Products API","api/products.api.spec.ts","",""
"","6340","@ui @basket @regression @positive should add and remove product to basket and see it empty","chromium","2026-03-30","failed","2026-03-30","@ui @basket @regression Basket UI","api/basket.api.spec.ts","",""
"","88","@smoke @positive should login existing user","chromium","2026-03-30","passed","2026-03-30","@api @auth Auth API","api/auth.api.spec.ts","",""
"","25","@negative should return empty search result","chromium","2026-03-30","passed","2026-03-30","@api @products Products API","api/products.api.spec.ts","",""
"","9020","@ui @basket @smoke @positive should add product to basket and see it there","chromium","2026-03-30","failed","2026-03-30","@ui @basket @regression Basket UI","api/basket.api.spec.ts","",""
"","30597","@ui @auth @smoke @positive @critical should login existing user","chromium","2026-03-30","broken","2026-03-30","@ui @auth @regression Login UI","ui/login.spec.ts","",""
"","105","@smoke @positive should return products","chromium","2026-03-30","passed","2026-03-30","@api @products Products API","api/products.api.spec.ts","",""
"","954","@ui @search @regression @negative should display no results found","chromium","2026-03-30","passed","2026-03-30","@ui @search @regression Search UI","ui/search.spec.ts","",""
"","847","has title","chromium","2026-03-30","passed","2026-03-30","","example.spec.ts","",""
"","1267","get started link","chromium","2026-03-30","passed","2026-03-30","","example.spec.ts","",""
"","1166","@ui @auth @regression @positive should login and then logout successfully","chromium","2026-03-30","passed","2026-03-30","@ui @auth @regression Login UI","ui/login.spec.ts","",""
